,Source,Destination,Protocol,Length,Info
0,10.0.2.15,184.28.150.107,TCP,54,"53683  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
1,184.28.150.107,10.0.2.15,TCP,60,443  >  53683 [ACK] Seq=1 Ack=2 Win=65535 Len=0
2,184.28.150.107,10.0.2.15,TLSv1.2,85,Encrypted Alert
3,184.28.150.107,10.0.2.15,TCP,60,"443  >  53683 [FIN, ACK] Seq=32 Ack=2 Win=65535 Len=0"
4,10.0.2.15,184.28.150.107,TCP,54,"53683  >  443 [RST, ACK] Seq=2 Ack=32 Win=0 Len=0"
5,10.0.2.15,184.28.150.107,TCP,54,53683  >  443 [RST] Seq=2 Win=0 Len=0
6,184.28.150.107,10.0.2.15,TCP,60,"443  >  53683 [RST, ACK] Seq=4286322722 Ack=2 Win=0 Len=0"
7,10.0.2.15,184.28.150.107,TCP,54,"53684  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
8,184.28.150.107,10.0.2.15,TCP,60,443  >  53684 [ACK] Seq=1 Ack=2 Win=65535 Len=0
9,184.28.150.107,10.0.2.15,TLSv1.2,85,Encrypted Alert
10,184.28.150.107,10.0.2.15,TCP,60,"443  >  53684 [FIN, ACK] Seq=32 Ack=2 Win=65535 Len=0"
11,10.0.2.15,184.28.150.107,TCP,54,"53684  >  443 [RST, ACK] Seq=2 Ack=32 Win=0 Len=0"
12,10.0.2.15,184.28.150.107,TCP,54,53684  >  443 [RST] Seq=2 Win=0 Len=0
13,184.28.150.107,10.0.2.15,TCP,60,"443  >  53684 [RST, ACK] Seq=4286194678 Ack=2 Win=0 Len=0"
14,10.0.2.15,10.0.2.255,NBNS,92,Name query NB MALWARE-WINDOWS<1c>
15,10.0.2.15,18.155.192.19,TCP,55,53594  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1 [TCP segment of a reassembled PDU]
16,18.155.192.19,10.0.2.15,TCP,60,443  >  53594 [ACK] Seq=1 Ack=2 Win=65535 Len=0
17,10.0.2.15,10.0.2.255,NBNS,92,Name query NB MALWARE-WINDOWS<1c>
18,10.0.2.15,10.0.2.255,NBNS,92,Name query NB MALWARE-WINDOWS<1c>
19,10.0.2.15,184.28.149.182,TCP,54,"53618  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
20,10.0.2.15,184.28.149.182,TCP,54,"53711  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
21,10.0.2.15,184.28.149.182,TCP,54,"53719  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
22,10.0.2.15,184.28.149.182,TCP,54,"53629  >  443 [FIN, ACK] Seq=1 Ack=1 Win=63159 Len=0"
23,10.0.2.15,184.28.149.182,TCP,54,"53630  >  443 [FIN, ACK] Seq=1 Ack=1 Win=63159 Len=0"
24,10.0.2.15,184.28.149.182,TCP,54,"53631  >  443 [FIN, ACK] Seq=1 Ack=1 Win=63159 Len=0"
25,10.0.2.15,184.28.149.182,TCP,54,"53632  >  443 [FIN, ACK] Seq=1 Ack=1 Win=63602 Len=0"
26,184.28.149.182,10.0.2.15,TCP,60,443  >  53618 [ACK] Seq=1 Ack=2 Win=65535 Len=0
27,184.28.149.182,10.0.2.15,TCP,60,443  >  53711 [ACK] Seq=1 Ack=2 Win=65535 Len=0
28,184.28.149.182,10.0.2.15,TCP,60,443  >  53719 [ACK] Seq=1 Ack=2 Win=65535 Len=0
29,184.28.149.182,10.0.2.15,TCP,60,443  >  53629 [ACK] Seq=1 Ack=2 Win=65535 Len=0
30,184.28.149.182,10.0.2.15,TCP,60,443  >  53630 [ACK] Seq=1 Ack=2 Win=65535 Len=0
31,184.28.149.182,10.0.2.15,TCP,60,443  >  53631 [ACK] Seq=1 Ack=2 Win=65535 Len=0
32,184.28.149.182,10.0.2.15,TCP,60,443  >  53632 [ACK] Seq=1 Ack=2 Win=65535 Len=0
33,184.28.149.182,10.0.2.15,TLSv1.2,85,Encrypted Alert
34,184.28.149.182,10.0.2.15,TLSv1.2,85,Encrypted Alert
